Game_Date,Team,Team_Name,League,Season,Opponent,Result,Score_For,Score_Against,Attendance,Is_Win,Recent_Win_Pct,Score_Differential,Day_of_Week,Attendance_Index
2025-10-22,CHI,Chicago Bulls,NBA,2025-26,Detroit Pistons,Win,115,111,21381,1,,4,Wednesday,1.0561736970133626
2025-10-27,CHI,Chicago Bulls,NBA,2025-26,Atlanta Hawks,Win,128,123,18094,1,1.0,5,Monday,0.8938032306140865
2025-10-29,CHI,Chicago Bulls,NBA,2025-26,Sacramento Kings,Win,126,113,19017,1,1.0,13,Wednesday,0.9393973713157999
2025-10-31,CHI,Chicago Bulls,NBA,2025-26,New York Knicks,Win,135,125,18330,1,1.0,10,Friday,0.9054611040762798
2025-11-04,CHI,Chicago Bulls,NBA,2025-26,Philadelphia 76ers,Win,113,111,21016,1,0.8,2,Tuesday,1.0381435113620892
2025-11-10,CHI,Chicago Bulls,NBA,2025-26,San Antonio Spurs,Loss,117,121,21672,0,0.4,-4,Monday,1.0705484477654739
2025-11-21,CHI,Chicago Bulls,NBA,2025-26,Miami Heat,Loss,107,143,21313,0,0.4,-36,Friday,1.052814648727646
2025-11-22,CHI,Chicago Bulls,NBA,2025-26,Washington Wizards,Win,121,120,21302,1,0.4,1,Saturday,1.0522712732696624
2025-12-03,CHI,Chicago Bulls,NBA,2025-26,Brooklyn Nets,Loss,103,113,20633,0,0.2,-10,Wednesday,1.019224165870479
2025-12-05,CHI,Chicago Bulls,NBA,2025-26,Indiana Pacers,Loss,105,120,20471,0,0.0,-15,Friday,1.011221727307448
2025-12-07,CHI,Chicago Bulls,NBA,2025-26,Golden State Warriors,Loss,91,123,18449,0,0.0,-32,Sunday,0.911339438576284
2025-12-14,CHI,Chicago Bulls,NBA,2025-26,New Orleans Pelicans,Loss,104,114,18372,0,0.2,-10,Sunday,0.9075358103703989
2025-12-17,CHI,Chicago Bulls,NBA,2025-26,Cleveland Cavaliers,Win,127,111,18872,1,0.2,16,Wednesday,0.9322346948241981
2025-12-26,CHI,Chicago Bulls,NBA,2025-26,Philadelphia 76ers,Win,109,102,20952,1,0.8,7,Friday,1.034982054152003
2025-12-27,CHI,Chicago Bulls,NBA,2025-26,Milwaukee Bucks,Loss,103,112,20934,0,1.0,-9,Saturday,1.034092894311666
2025-12-29,CHI,Chicago Bulls,NBA,2025-26,Minnesota Timberwolves,Loss,101,136,21429,0,0.8,-35,Monday,1.0585447899209273
2025-12-31,CHI,Chicago Bulls,NBA,2025-26,New Orleans Pelicans,Win,134,118,20527,1,0.6,16,Wednesday,1.0139880023662735
2026-01-02,CHI,Chicago Bulls,NBA,2025-26,Orlando Magic,Win,121,114,21245,1,0.6,7,Friday,1.0494556004419293
2026-01-03,CHI,Chicago Bulls,NBA,2025-26,Charlotte Hornets,Loss,99,112,21315,0,0.6,-13,Saturday,1.052913444265461
2026-01-10,CHI,Chicago Bulls,NBA,2025-26,Dallas Mavericks,Win,125,107,19753,1,0.4,18,Saturday,0.9757541292317924
2026-01-14,CHI,Chicago Bulls,NBA,2025-26,Utah Jazz,Win,128,126,18859,1,0.2,2,Wednesday,0.9315925238283993
