Game_Date,Team,Team_Name,League,Season,Opponent,Result,Score_For,Score_Against,Attendance,Is_Win,Recent_Win_Pct,Score_Differential,Day_of_Week,Attendance_Index,Venue
2025-03-01,CHI,Chicago Fire FC,MLS,2025,D.C.,Draw,2,2,20372,0,0.0,0,Saturday,0.8676668069669091,Soldier Field
2025-03-29,CHI,Chicago Fire FC,MLS,2025,Montréal,Draw,1,1,16278,0,0.6,0,Saturday,0.6932986591305393,Soldier Field
2025-04-13,CHI,Chicago Fire FC,MLS,2025,Miami,Draw,0,0,62358,0,0.6,0,Sunday,2.655898623053334,Soldier Field
2025-04-19,CHI,Chicago Fire FC,MLS,2025,Cincinnati,Loss,2,3,17732,0,0.4,-1,Saturday,0.7552261840338323,Soldier Field
2025-05-03,CHI,Chicago Fire FC,MLS,2025,Orlando,Draw,0,0,17876,0,0.0,0,Saturday,0.7613593089210912,Soldier Field
2025-05-10,CHI,Chicago Fire FC,MLS,2025,Atlanta,Win,2,1,22741,1,0.0,1,Saturday,0.9685652295913254,Soldier Field
2025-06-14,CHI,Chicago Fire FC,MLS,2025,Nashville,Loss,0,2,26942,0,0.8,-2,Saturday,1.147490629948089,Soldier Field
2025-06-25,CHI,Chicago Fire FC,MLS,2025,Philadelphia,Loss,0,1,17231,0,0.6,-1,Wednesday,0.733888020363578,Soldier Field
2025-06-28,CHI,Chicago Fire FC,MLS,2025,Charlotte,Win,3,2,17837,1,0.4,1,Saturday,0.7596982542641252,Soldier Field
2025-07-12,CHI,Chicago Fire FC,MLS,2025,San Diego,Loss,1,2,27631,0,0.4,-1,Saturday,1.1768359288878198,Soldier Field
2025-07-26,CHI,Chicago Fire FC,MLS,2025,New York,Win,1,0,29273,1,0.4,1,Saturday,1.2467705890605896,Soldier Field
2025-08-09,CHI,Chicago Fire FC,MLS,2025,LAFC,Draw,2,2,19831,0,0.4,0,Saturday,0.8446249974946385,SeatGeek Stadium
2025-08-16,CHI,Chicago Fire FC,MLS,2025,St. Louis,Win,3,2,17485,1,0.4,1,Saturday,0.7447061712063816,SeatGeek Stadium
2025-09-06,CHI,Chicago Fire FC,MLS,2025,New England,Win,3,2,16947,1,0.6,1,Saturday,0.7217921351692622,SeatGeek Stadium
2025-09-13,CHI,Chicago Fire FC,MLS,2025,New York City,Loss,1,3,20636,0,0.6,-2,Saturday,0.8789108692602169,Soldier Field
2025-09-27,CHI,Chicago Fire FC,MLS,2025,Columbus,Win,2,0,23321,1,0.6,2,Saturday,0.993268093720562,Soldier Field
2025-10-04,CHI,Chicago Fire FC,MLS,2025,Toronto,Draw,2,2,24653,0,0.8,0,Saturday,1.0499994989277053,Soldier Field
