Game_Date,Team,Opponent,Result,Score_For,Score_Against,Attendance,Is_Win,Recent_Win_Pct,Run_Differential,Day_of_Week,Attendance_Index
2025-03-27,CHW,LAA,Win,8.0,1.0,31403.0,1,,7.0,Thursday,1.7376869114597528
2025-03-29,CHW,LAA,Loss,0.0,1.0,20602.0,0,1.0,-1.0,Saturday,1.1400129207366758
2025-03-30,CHW,LAA,Loss,2.0,3.0,19591.0,0,0.5,-1.0,Sunday,1.084069174359393
2025-03-31,CHW,MIN,Win,9.0,0.0,10423.0,1,0.3333333333333333,9.0,Monday,0.5767573377748942
2025-04-01,CHW,MIN,Loss,3.0,8.0,12089.0,0,0.5,-5.0,Tuesday,0.6689455489168854
2025-04-02,CHW,MIN,Loss,1.0,6.0,10193.0,0,0.4,-5.0,Wednesday,0.5640302738117142
2025-04-11,CHW,BOS,Win,11.0,1.0,13432.0,1,0.0,10.0,Friday,0.743260535449715
2025-04-12,CHW,BOS,Walk-off Win,3.0,2.0,30423.0,1,0.2,1.0,Saturday,1.683458551964464
2025-04-13,CHW,BOS,Loss,1.0,3.0,18840.0,0,0.4,-2.0,Sunday,1.0425125437665748
2025-04-15,CHW,ATH,Loss,3.0,12.0,10673.0,0,0.4,-9.0,Tuesday,0.5905911029522639
2025-04-16,CHW,ATH,Loss,1.0,3.0,10411.0,0,0.4,-2.0,Wednesday,0.5760933170463806
2025-04-17,CHW,ATH,Loss,0.0,8.0,10560.0,0,0.4,-8.0,Thursday,0.5843382410920928
2025-04-29,CHW,MIL,Loss,2.0,7.0,14904.0,0,0.4,-5.0,Tuesday,0.8247137448140673
2025-04-30,CHW,MIL,Loss,4.0,6.0,10253.0,0,0.4,-2.0,Wednesday,0.567350377454283
2025-05-01,CHW,MIL,Win,8.0,0.0,11917.0,1,0.2,8.0,Thursday,0.6594279184748552
2025-05-02,CHW,HOU,Win,7.0,3.0,13866.0,1,0.4,4.0,Friday,0.7672759517976286
2025-05-03,CHW,HOU,Loss,3.0,8.0,20874.0,0,0.4,-5.0,Saturday,1.155064057249654
2025-05-04,CHW,HOU,Win,5.0,4.0,19418.0,1,0.4,1.0,Sunday,1.0744962088566532
2025-05-09,CHW,MIA,Win,6.0,2.0,18992.0,1,0.2,4.0,Friday,1.0509234729944155
2025-05-10,CHW,MIA,Loss,1.0,3.0,24264.0,0,0.2,-2.0,Saturday,1.342649913054786
