Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 27",CHW,Home,LAA,W,8.0,1.0,9.0,1-0,1.0,Tied,Burke,Kikuchi,None,2:21,D,31403.0,.95,1,
"Saturday, Mar 29",CHW,Home,LAA,L,0.0,1.0,9.0,1-1,1.0,Tied,Soriano,Clevinger,Jansen,2:19,D,20602.0,.97,-1,
"Sunday, Mar 30",CHW,Home,LAA,L,2.0,3.0,9.0,1-2,2.0,1.0,Joyce,Booser,Jansen,2:15,D,19591.0,.94,-2,
"Monday, Mar 31",CHW,Home,MIN,W,9.0,0.0,9.0,2-2,1.0,Tied,Pérez,Paddack,None,2:28,D,10423.0,.94,1,
"Tuesday, Apr 1",CHW,Home,MIN,L,3.0,8.0,9.0,2-3,1.0,Tied,Varland,Murfee,None,2:54,N,12089.0,.95,-1,
"Wednesday, Apr 2",CHW,Home,MIN,L,1.0,6.0,9.0,2-4,1.0,Tied,López,Burke,None,2:17,D,10193.0,.95,-2,
"Friday, Apr 4",CHW,@,DET,L,4.0,7.0,9.0,2-5,4.0,1.0,Flaherty,Cannon,None,2:59,D,44735.0,.95,-3,
"Saturday, Apr 5",CHW,@,DET,L,2.0,7.0,9.0,2-6,5.0,2.0,Olson,Martin,None,2:17,D,26098.0,.83,-4,
"Sunday, Apr 6",CHW,@,DET,L-wo,3.0,4.0,9.0,2-7,5.0,3.0,Brebbia,Ellard,None,2:37,D,20981.0,.83,-5,
"Tuesday, Apr 8",CHW,@,CLE,L-wo,0.0,1.0,9.0,2-8,5.0,4.5,Clase,Clevinger,None,2:30,D,33722.0,.76,-6,
"Wednesday, Apr 9",CHW,@,CLE,L,2.0,3.0,9.0,2-9,5.0,4.5,Sewald,Burke,Clase,2:37,N,12997.0,.74,-7,
"Thursday, Apr 10",CHW,@,CLE,L,1.0,6.0,9.0,2-10,5.0,5.0,Williams,Cannon,None,2:27,D,12663.0,.69,-8,
"Friday, Apr 11",CHW,Home,BOS,W,11.0,1.0,9.0,3-10,5.0,5.0,Martin,Newcomb,None,2:46,N,13432.0,.60,1,
"Saturday, Apr 12",CHW,Home,BOS,W-wo,3.0,2.0,9.0,4-10,4.0,5.0,Gilbert,Chapman,None,2:46,D,30423.0,.65,2,
"Sunday, Apr 13",CHW,Home,BOS,L,1.0,3.0,9.0,4-11,5.0,5.0,Crochet,Smith,Chapman,2:20,D,18840.0,.68,-1,
"Tuesday, Apr 15",CHW,Home,ATH,L,3.0,12.0,9.0,4-12,5.0,5.5,Springs,Burke,Spence,2:37,N,10673.0,.63,-2,
"Wednesday, Apr 16",CHW,Home,ATH,L,1.0,3.0,9.0,4-13,5.0,5.5,Bido,Gilbert,Miller,2:47,N,10411.0,.55,-3,
"Thursday, Apr 17",CHW,Home,ATH,L,0.0,8.0,9.0,4-14,5.0,6.5,Sears,Martin,None,2:35,D,10560.0,.54,-4,
